ECNumber	EnzymeType	Organism	Smiles	Substrate	UniprotID	Value	Unit
1.1.1.76	wildtype	Bacillus licheniformis	CC(C(C)O)O	(2S,3S)-2,3-butanediol		81.5	s^(-1)
1.1.1.76	F212S	Klebsiella pneumoniae	CC(C(C)O)O	(2S,3S)-2,3-butanediol		0.023	s^(-1)
1.1.1.76	F212W	Klebsiella pneumoniae	CC(C(C)O)O	(2S,3S)-2,3-butanediol		0.055	s^(-1)
1.1.1.76	N146Q	Klebsiella pneumoniae	CC(C(C)O)O	(2S,3S)-2,3-butanediol		0.075	s^(-1)
1.1.1.76	wildtype	Klebsiella pneumoniae	CC(C(C)O)O	(2S,3S)-2,3-butanediol		0.56	s^(-1)
1.1.1.76	F212Y	Klebsiella pneumoniae	CC(C(C)O)O	(2S,3S)-2,3-butanediol		1.49	s^(-1)
5.3.1.14	S329F	Pseudomonas stutzeri	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		0.0043	s^(-1)
5.3.1.14	S329L	Pseudomonas stutzeri	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		0.005	s^(-1)
5.3.1.14	wildtype	Pseudomonas stutzeri	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		0.13	s^(-1)
5.3.1.14	wildtype	Thermoanaerobacterium saccharolyticum	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		0.15	s^(-1)
5.3.1.14	S329A	Pseudomonas stutzeri	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		0.2	s^(-1)
5.3.1.14	wildtype	Mesorhizobium loti	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		0.8	s^(-1)
5.3.1.14	wildtype	Dictyoglomus turgidum	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		0.9	s^(-1)
5.3.1.14	wildtype	Caldicellulosiruptor saccharolyticus	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		3.54	s^(-1)
5.3.1.14	wildtype	Bacillus subtilis	C1C(C(C(C(O1)O)O)O)O	D-Lyxose		3.6	s^(-1)
5.3.1.14	wildtype	Halalkalibacterium halodurans	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		0.283	s^(-1)
5.3.1.14	S329K	Pseudomonas stutzeri	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		0.41	s^(-1)
5.3.1.14	S329F	Pseudomonas stutzeri	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		0.55	s^(-1)
5.3.1.14	wildtype	Thermobacillus composti	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		0.59	s^(-1)
5.3.1.14	wildtype	Bacillus subtilis	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		15.75	s^(-1)
5.3.1.14	S329L	Pseudomonas stutzeri	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		6.8	s^(-1)
5.3.1.14	S329A	Pseudomonas stutzeri	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		7.7	s^(-1)
5.3.1.14	wildtype	Dictyoglomus turgidum	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		7.9	s^(-1)
5.3.1.14	wildtype	Mesorhizobium loti	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		10.1	s^(-1)
5.3.1.14	wildtype	Pseudomonas stutzeri	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		410.0	s^(-1)
5.3.1.14	H101N	Pseudomonas stutzeri	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		20.0	s^(-1)
5.3.1.14	wildtype	Thermotoga maritima	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		39.36	s^(-1)
5.3.1.14	wildtype	Thermoanaerobacterium saccharolyticum	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		50.8	s^(-1)
5.3.1.14	wildtype	Caldicellulosiruptor saccharolyticus	CC1C(C(C(C(O1)O)O)O)O	beta-L-fucopyranose		97.1	s^(-1)
5.3.1.14	wildtype	Thermobacillus composti	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.02	s^(-1)
5.3.1.14	S329F	Pseudomonas stutzeri	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.071	s^(-1)
5.3.1.14	S329K	Pseudomonas stutzeri	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.081	s^(-1)
5.3.1.14	wildtype	Bacillus subtilis	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.12	s^(-1)
5.3.1.14	wildtype	Mesorhizobium loti	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.2	s^(-1)
5.3.1.14	S329L	Pseudomonas stutzeri	C(C1C(C(C(C(O1)O)O)O)O)O	D-mannose		0.27	s^(-1)
